project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,duplicate_location,duplicate_location_key,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_duplicate_location_count,same_work_same_block_count,same_work_same_constituency_count,same_category_same_locality_count,same_category_same_block_count,same_category_same_constituency_count,same_mp_category_locality_count,same_ida_category_locality_count,same_type_location_month_count,location_duplicate_group_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,amount_vs_constituency_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action,review_source
1eab88a3177c3cd2,Kanta Kardam,Lighting of public spaces,Normal/Others,Uttar Pradesh,SITTING RAJYA SABHA,DISTRICT MAGISTRATE MEERUT_IDA,Daurala,Nagli Ajar Salempur,"Daurala, Nagli Ajar Salempur",Nagli Ajar Salempur,nagli_ajar_salempur,2023-11-04,299500,YELLOW,35.0,100,0.0,0,45,3,3,3,306,3,4,2643,3,3,3,3,3,3,3,0.7488,1.3341,0.6112,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
a57d93edfb20f7c9,Sh Derek O Brien,Installing tube-wells and borewells,Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,Budge Budge-I,Durgapur,"Budge Budge-I, Durgapur",Durgapur,durgapur,2023-07-18,200000,YELLOW,35.0,100,0.0,0,45,3,3,6,334,4,6,2643,3,3,3,3,3,3,42,0.5,1.0,0.4082,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
58a6f2368b476659,Rajiv Ranjan Singh,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Bihar,MUNGER,DISTRICT PLANNING OFFICER PATNA_IDA,Pandarak,Pandarak,"Pandarak, Pandarak",Pandarak,pandarak,2023-08-16,250000,YELLOW,35.0,100,0.0,0,45,2,2,3,15,3,9,61,3,3,3,2,3,3,13,0.625,0.5,0.5704,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
70f6ad8b0561030c,Sakaldeep Rajbhar,Installing community drinking water plants,Normal/Others,Uttar Pradesh,SITTING RAJYA SABHA,DISTRICT MAGISTRAE AGRA_IDA,Saiyan,Khedia,"Saiyan, Khedia",Khedia,khedia,2023-11-17,224500,YELLOW,35.0,100,0.0,0,45,6,6,15,73,6,15,2643,6,6,6,6,6,6,6,0.5612,1.0,0.4582,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
82b98acef85377bb,Muzibulla Khan,Construction of community centers and community halls,Normal/Others,Odisha,SITTING RAJYA SABHA,DISTRICT COLLECTOR CUTTACK_IDA,Narasinghpur,Badabhuin,"Narasinghpur, Badabhuin",Badabhuin,badabhuin,2023-10-26,250000,YELLOW,35.0,100,0.0,0,0,2,2,6,198,2,6,2643,2,2,2,2,2,2,5,0.625,1.0,0.5102,false,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
aae2a707ba7fc39a,Sukhendu Sekhar Ray,Installing tube-wells and borewells,Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,Basanti,Basanti (Ct),"Basanti, Basanti (Ct)",Basanti (Ct),basanti_ct,2023-07-18,200000,YELLOW,35.0,100,0.0,0,45,2,2,14,334,2,14,2643,2,2,2,2,2,2,42,0.5,1.0,0.4082,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
9062087925987d58,Dv Sadananda Gowda,Installing tube-wells and borewells,Normal/Others,Karnataka,BANGALORE NORTH,DEPUTY COMMISSIONER BANGALORE URBAN_IDA,Bengaluru South,Tavarekere,"Bengaluru South, Tavarekere",Tavarekere,tavarekere,2023-09-06,250000,YELLOW,35.0,100,0.0,0,45,3,3,4,13,5,18,32,3,5,3,2,1,1,1,0.625,0.5,0.5,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
772d4fd61e0d62f3,Kanimozhi Nvn Somu,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,SITTING RAJYA SABHA,DISTRICT COLLECTOR MADURAI_IDA,Madurai East,Andarkottaram,"Madurai East, Andarkottaram",Andarkottaram,andarkottaram,2023-11-02,1000000,YELLOW,35.0,100,0.0,0,45,3,3,10,482,4,15,2643,2,4,2,3,0,0,4,2.5,2.0,2.0408,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
0106b26c14f4e7a6,Hasmukh Bhai Soma Bhai Patel,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Gujarat,AHMEDABAD EAST,DISTRICT COLLECTOR AHMADABAD_IDA,,,"Ahmadabad, Sardarnagar",Ahmadabad,ahmadabad_sardarnagar,2023-10-16,200000,YELLOW,35.0,100,0.0,0,45,4,4,0,6,4,0,16,4,4,2,1,2,2,4,0.5,0.5,1.0,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Project is unsanctioned with action pending,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
1a66a9a1be102c8f,Rakesh Sinha,Lighting of public spaces,Normal/Others,Bihar,NOMINATED RAJYA SABHA,DISTRICT MAGISTRAE PILIBHIT_IDA,Lalaurikhera,Kharuwa Mustqil,"Lalaurikhera, Kharuwa Mustqil",Kharuwa Mustqil,kharuwa_mustqil,2023-09-22,283000,YELLOW,35.0,100,0.0,0,0,2,2,12,60,2,13,129,2,2,2,2,2,2,10,0.7075,0.566,1.0,false,Sanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality,valid_flag,Same cleaned work appears multiple times for the same locality and ward.,keep_duplicate_rule,ai_assisted_first_pass
