project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,duplicate_location,duplicate_location_key,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_duplicate_location_count,same_work_same_block_count,same_work_same_constituency_count,same_category_same_locality_count,same_category_same_block_count,same_category_same_constituency_count,same_mp_category_locality_count,same_ida_category_locality_count,same_type_location_month_count,location_duplicate_group_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,amount_vs_constituency_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action,review_source
9fe8792215db6089,Birendra Prasad Baishya,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Assam,SITTING RAJYA SABHA,Deputy Commissioner Goalpara_IDA,Rongjuli,Dhupdhara Pt-I,"Rongjuli, Dhupdhara Pt-I",Dhupdhara Pt-I,dhupdhara_pt_i,2023-11-16,2300000,RED,69.5,100,100.0,0,45,3,3,3,482,3,3,2643,3,3,3,1,0,0,3,5.75,6.5714,4.6939,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
ebdeab3801e18ccc,Faizal Pp Mohammed,Purchase of hospital equipment,Normal/Others,Lakshadweep,LAKSHADWEEP(ST),COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,Kavaratti,Kavaratti (Ct),"Kavaratti, Kavaratti (Ct)",Kavaratti (Ct),kavaratti_ct,2023-09-25,2780000,RED,69.5,100,100.0,0,45,6,6,6,9,7,7,11,7,7,7,1,0,0,2,6.95,2.5699,2.5699,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
bd7bd8e19dc7dde1,Adala Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,NELLORE(SC),DISTRICT COLLECTOR NELLORE_IDA,,,"Nellore Municipal Corporation, 31",Nellore Municipal Corporation,nellore_municipal_corporation_31,2023-12-23,2150000,RED,69.5,100,100.0,0,45,2,2,0,9,3,0,21,3,3,3,1,0,0,5,5.375,4.3,3.0714,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
6e6322e73b0e1f39,Topon Kumar Gogoi,Construction of rooms and halls in school and colleges,Normal/Others,Assam,JORHAT,DEPUTY COMMISSIONER JORHAT_IDA,,,"Jorhat, ward no-10",Jorhat,jorhat_ward_no_10,2023-09-19,2000000,RED,69.5,100,100.0,0,45,2,2,0,13,5,0,49,5,5,5,1,0,0,6,5.0,5.7143,4.0,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
9c8810bfa95b98e7,Anil Kumar Jain,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Uttar Pradesh,SITTING RAJYA SABHA,DISTRICT MAGISTRATE FIROZABAD_IDA,Firozabad,Garhi Hansram,"Firozabad, Garhi Hansram",Garhi Hansram,garhi_hansram,2024-01-13,1710000,RED,69.5,100,100.0,0,45,2,2,2,154,2,2,2643,2,2,2,1,0,0,2,4.275,7.6169,3.4898,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
397c629a78cc55ef,Jairam Ramesh,Construction of community centers and community halls,Normal/Others,Karnataka,SITTING RAJYA SABHA,DEPUTY COMMISSIONER CHIKKAMAGALURU_IDA,,,"Kadur, Kadur Taluk",Kadur,kadur_kadur_taluk,2023-09-04,2000000,RED,69.5,100,100.0,0,45,3,3,0,198,4,0,2643,4,4,4,3,0,0,14,5.0,4.0,4.0816,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
9572f278f7136d1b,M Selvaraj,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,NAGAPATTINAM(SC),DISTRICT COLLECTOR THIRUVARUR_IDA,Kottur,Perungavazhandan-I,"Kottur, Perungavazhandan-I",Perungavazhandan-I,perungavazhandan_i,2023-09-29,2500000,RED,69.5,100,100.0,0,45,2,2,2,4,2,7,17,2,2,2,1,0,0,10,6.25,5.0,5.2083,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
397c629a78cc55ef,Jairam Ramesh,Construction of community centers and community halls,Normal/Others,Karnataka,SITTING RAJYA SABHA,DEPUTY COMMISSIONER CHIKKAMAGALURU_IDA,,,"Kadur, Kadur Taluk",Kadur,kadur_kadur_taluk,2023-09-04,2000000,RED,69.5,100,100.0,0,45,3,3,0,198,4,0,2643,4,4,4,3,0,0,14,5.0,4.0,4.0816,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
4d334181f8147efb,Abhishek Banerjee,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,West Bengal,DIAMOND HARBOUR,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,,,"Maheshtala, Ward-22",Maheshtala,maheshtala_ward_22,2023-09-13,1800000,RED,69.5,100,100.0,0,45,2,2,0,24,2,0,35,2,2,2,1,0,0,8,4.5,9.0,5.9937,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
8d6ef0b16e9c4b49,Gk Vasan,Construction of community centers and community halls,Normal/Others,Tamil Nadu,SITTING RAJYA SABHA,DISTRICT COLLECTOR COIMBATORE_IDA,Kinathukadavu,Sirukkalandai,"Kinathukadavu, Sirukkalandai",Sirukkalandai,sirukkalandai,2023-10-26,3000000,RED,69.5,100,100.0,0,45,2,2,2,198,2,2,2643,2,2,2,1,0,0,2,7.5,6.0,6.1224,false,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Allocation amount is high compared with trained category/state or constituency distribution | Project is unsanctioned with action pending,valid_flag,Pending/unsanctioned status is combined with another risk signal.,prioritize_admin_review,ai_assisted_first_pass
