project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,duplicate_location,duplicate_location_key,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_duplicate_location_count,same_work_same_block_count,same_work_same_constituency_count,same_category_same_locality_count,same_category_same_block_count,same_category_same_constituency_count,same_mp_category_locality_count,same_ida_category_locality_count,same_type_location_month_count,location_duplicate_group_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,amount_vs_constituency_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action,review_source
341e3e9ff4196981,Kavitha Malothu,Providing drains and gutters for public drainage,Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2023-12-20,499000,YELLOW,59.5,100,0.0,100,45,5,5,5,9,9,11,43,9,9,5,4,5,5,6,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
341e3e9ff4196981,Kavitha Malothu,Providing drains and gutters for public drainage,Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2023-12-20,499000,YELLOW,59.5,100,0.0,100,45,5,5,5,9,9,11,43,9,9,5,4,5,5,6,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
07c1c421e99c5bd8,Kavitha Malothu,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2023-12-20,499000,YELLOW,59.5,100,0.0,100,45,1,1,2,11,9,11,43,9,9,5,1,5,5,6,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
341e3e9ff4196981,Kavitha Malothu,Providing drains and gutters for public drainage,Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2023-12-20,499000,YELLOW,59.5,100,0.0,100,45,5,5,5,9,9,11,43,9,9,5,4,5,5,6,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
ee9a4f34286ea0d6,Kavitha Malothu,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2024-01-12,499000,YELLOW,59.5,100,0.0,100,45,3,3,4,6,9,11,43,9,9,4,3,4,4,4,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
ee9a4f34286ea0d6,Kavitha Malothu,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2024-01-12,499000,YELLOW,59.5,100,0.0,100,45,3,3,4,6,9,11,43,9,9,4,3,4,4,4,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
8edf838098e1cf7b,Kavitha Malothu,Providing drains and gutters for public drainage,Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2024-01-12,499000,YELLOW,59.5,100,0.0,100,45,5,5,5,9,9,11,43,9,9,4,4,4,4,4,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
ee9a4f34286ea0d6,Kavitha Malothu,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Telangana,MAHABUBABAD,District Collector Bhadradri Ktdm_IDA,Burgampahad,Burgampadu,"Burgampahad, Burgampadu",Burgampadu,burgampadu,2024-01-12,499000,YELLOW,59.5,100,0.0,100,45,3,3,4,6,9,11,43,9,9,4,3,4,4,4,1.2475,1.4257,1.0848,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
1a38e1fe92b349cc,Adala Reddy,Providing drains and gutters for public drainage,Normal/Others,Andhra Pradesh,NELLORE(SC),DISTRICT COLLECTOR NELLORE_IDA,Jaladanki,Brahmanakraka,"Jaladanki, Brahmanakraka",Brahmanakraka,brahmanakraka,2023-11-28,460000,YELLOW,58.25,100,0.0,95,45,2,2,2,4,3,3,21,3,3,3,1,3,3,3,1.15,0.92,0.6571,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
3673764ceabfd158,Abhishek Banerjee,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,DIAMOND HARBOUR,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,,,"Diamond Harbour, Ward-15",Diamond Harbour,diamond_harbour_ward_15,2023-09-11,450000,YELLOW,53.75,100,0.0,95,0,3,3,0,10,3,0,35,3,3,3,1,3,3,10,1.125,2.25,1.4984,true,Unsanctioned,Approved by IDA,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
83a92324f8ded422,Trvs Ramesh,Lighting of public spaces,Normal/Others,Tamil Nadu,CUDDALORE,DISTRICT COLLECTOR CUDDALORE_IDA,Mangalur,Sevveri,"Mangalur, Sevveri",Sevveri,sevveri,2023-12-01,450000,YELLOW,35.45,24,0.0,95,45,1,1,13,24,3,19,49,3,3,1,1,3,3,8,1.125,0.9,1.0,true,Unsanctioned,Action Pending,Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
4f4c157037f581d3,Ramesh Chandappa Jigajinagi,Construction of water tanks,Normal/Others,Karnataka,BIJAPUR(SC),DEPUTY COMMISSIONER BIJAPUR_IDA,Indi,Atharga,"Indi, Atharga",Atharga,atharga,2023-12-02,495000,YELLOW,58.25,100,0.0,95,45,2,2,2,2,3,11,82,3,3,2,2,3,3,7,1.2375,0.99,1.98,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
4c35bbf7ad964180,Trvs Ramesh,Lighting of public spaces,Normal/Others,Tamil Nadu,CUDDALORE,DISTRICT COLLECTOR CUDDALORE_IDA,Mangalur,Meladhanur,"Mangalur, Meladhanur",Meladhanur,meladhanur,2023-12-01,450000,YELLOW,58.25,100,0.0,95,45,2,2,13,24,3,19,49,3,3,2,2,3,3,8,1.125,0.9,1.0,true,Unsanctioned,Action Pending,Repeated or similar-category work appears in the same locality | Near Rs 5 lakh cluster appears within a short time window | Project is unsanctioned with action pending,valid_flag,Near-Rs 5 lakh project appears in a same-locality short-window cluster.,keep_split_rule,ai_assisted_first_pass
