project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_block_count,same_work_same_constituency_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action
922a17bbaccd7c0f,Anil Baluni,Construction of New Building,Normal/Others,Uttarakhand,NAN,DISTRICT MAGISTRATE PAURI GARHWAL_IDA,,,"Pauri, Pauri (MB) - Benjodi/Kyukaleshwer Ward No.1",2024-02-09,150000000,YELLOW,40.4,3,100.0,0,45,1,0,0,0,0,1,375.0,936.4874,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
e3d0599d37c281c1,Gautam Gambhir,Providing CCTV camera system for security of public areas,Normal/Others,Delhi,EAST DELHI,COMMISSIONER MCD SOUTH EAST_IDA,,,"South Delhi Municipal Corporation, 144, 143,",2023-10-05,32000000,YELLOW,35.9,3,100.0,0,0,1,0,1,0,0,1,80.0,40.0,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
32587e3cd1d60fd0,Faizal Pp Mohammed,Improvement of electricity distribution infrastructure,Normal/Others,Lakshadweep,LAKSHADWEEP(ST),COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,Andrott,Andrott (Ct),"Andrott, Andrott (Ct)",2023-09-08,28202000,YELLOW,40.4,3,100.0,0,45,1,1,1,0,0,8,70.505,26.0704,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
e226af14ab08d32d,S Phangnon Konyak,Construction of additional rooms and halls in the existing public and community building,Normal/Others,Nagaland,NAN,Deputy Commissioner Shamator_IDA,Chessore,Chessore Vill.,"Chessore, Chessore Vill.",2023-12-05,21000000,YELLOW,40.4,3,100.0,0,45,1,1,0,0,0,1,52.5,14.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
64921671fa58224f,Pradeep Kumar Singh,Lighting of public spaces,Normal/Others,Bihar,ARARIA,DISTRICT PLANNING OFFICER ARARIA_IDA,,,"Forbesganj, NETAJI CHAWK, JUMMAN CHAWK",2023-10-18,19990000,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,1,49.975,39.98,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
b80ce0020c0cdeb6,Thiru Dayanidhi Maran,Construction of community centers and community halls,Normal/Others,Tamil Nadu,CHENNAI CENTRAL,COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA,,,"Chennai, 57",2023-11-22,15000000,YELLOW,40.4,3,100.0,0,45,1,0,1,0,0,2,37.5,30.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
1ea407258c24bfac,Beesetti Venkata Satyavathi,Construction of community centers and community halls,Normal/Others,Andhra Pradesh,ANAKAPALLE,DISTRICT COLLECTOR ANAKAPALLI_IDA,Anakapalli,Sankaram,"Anakapalli, Sankaram",2024-01-25,15000000,YELLOW,35.9,3,100.0,0,0,1,1,7,0,0,1,37.5,30.0,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
587983216cf15fcd,Darshana Singh,Construction of bus-sheds or bus-stops,Normal/Others,Uttar Pradesh,SITTING RAJYA SABHA,DISTRICT MAGISTRATE CHANDAULI_IDA,,,Chandauli,2023-08-18,14743000,YELLOW,35.9,3,100.0,0,0,1,0,11,0,0,2,36.8575,65.6704,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
7bbf44fd19b07514,Harish Dwivedi,Construction of stadiums,Normal/Others,Uttar Pradesh,BASTI,DISTRICT MAGISTRATE BASTI_IDA,,,"Bhanpur Kaswa, Ward no 13 Adarsh Nagar",2023-09-05,14730050,YELLOW,35.9,3,100.0,0,0,1,0,1,0,0,1,36.8251,65.6127,false,Sanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
3c530f6576ec4398,Dharmendra Pradhan,Development works related to Public Facilities,Normal/Others,Madhya Pradesh,SITTING RAJYA SABHA,DISTRICT COLLECTOR SEHORE_IDA,,,"Budni, Budni",2024-01-24,13975000,YELLOW,40.4,3,100.0,0,45,1,0,2,0,0,1,34.9375,46.7391,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
