project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_block_count,same_work_same_constituency_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action
75dc5c0dfb27a236,Faizal Pp Mohammed,Purchase of hospital equipment,Normal/Others,Lakshadweep,LAKSHADWEEP(ST),COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA,Kavaratti,Kavaratti (Ct),"Kavaratti, Kavaratti (Ct)",2023-09-12,10430000,YELLOW,63.5,80,100.0,0,45,6,6,9,0,0,1,26.075,9.6417,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
e3e62137da1cd8a2,Mimi Chakraborty,Lighting of public spaces,Normal/Others,West Bengal,JADAVPUR,COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA,,,"Kolkata, WARD NUMBER - 105",2024-01-17,1000000,YELLOW,63.3,91,90.0,0,45,2,0,3,0,0,1,2.5,5.0,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
47e9b08daf7aedaa,P Selvarasu,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,SITTING RAJYA SABHA,DISTRICT COLLECTOR ERODE_IDA,Kodumudi,Kongudayampalayam,"Kodumudi, Kongudayampalayam",2023-12-06,2662000,YELLOW,62.6,77,100.0,0,45,4,4,482,0,0,7,6.655,5.324,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
e705e693f604056c,Abhishek Banerjee,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,West Bengal,DIAMOND HARBOUR,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,,,"Maheshtala, Ward-14",2023-09-12,100203,YELLOW,62.48,80,97.08,0,45,6,0,24,6,6,6,0.2505,0.501,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
dbf48659e0bb6f56,Y S Avinash Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,KADAPA,DISTRICT COLLECTOR CUDDAPAH_IDA,Proddatur,Kothapalle,"Proddatur, Kothapalle",2023-09-20,2000000,YELLOW,62.3,91,100.0,0,0,2,4,10,0,0,6,5.0,4.0,false,Unsanctioned,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution,,,
baaa732e0166efc5,R Dharmar,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,SITTING RAJYA SABHA,DISTRICT COLLECTOR TENKASI_IDA,Keelapavoor,Andipatti,"Keelapavoor, Andipatti",2023-10-17,2500000,YELLOW,62.3,91,100.0,0,0,2,2,482,0,0,6,6.25,5.0,false,Completed,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution,,,
a7aef7c2578c11e5,Nandigam Suresh,Street lights,Normal/Others,Andhra Pradesh,BAPATLA,DISTRICT COLLECTOR BAPATLA_IDA,Karlapalem,Karlapalem,"Karlapalem, Karlapalem",2023-11-10,2357236,YELLOW,62.3,91,100.0,0,0,2,2,4,0,0,4,5.8931,4.7145,false,Unsanctioned,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution,,,
baaa732e0166efc5,R Dharmar,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Tamil Nadu,SITTING RAJYA SABHA,DISTRICT COLLECTOR TENKASI_IDA,Keelapavoor,Andipatti,"Keelapavoor, Andipatti",2023-10-17,2500000,YELLOW,62.3,91,100.0,0,0,2,2,482,0,0,6,6.25,5.0,false,Completed,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution,,,
a7aef7c2578c11e5,Nandigam Suresh,Street lights,Normal/Others,Andhra Pradesh,BAPATLA,DISTRICT COLLECTOR BAPATLA_IDA,Karlapalem,Karlapalem,"Karlapalem, Karlapalem",2023-11-10,2357236,YELLOW,62.3,91,100.0,0,0,2,2,4,0,0,4,5.8931,4.7145,false,Unsanctioned,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution,,,
dbf48659e0bb6f56,Y S Avinash Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,KADAPA,DISTRICT COLLECTOR CUDDAPAH_IDA,Proddatur,Kothapalle,"Proddatur, Kothapalle",2023-09-20,2000000,YELLOW,62.3,91,100.0,0,0,2,4,10,0,0,6,5.0,4.0,false,Unsanctioned,Approved by IDA,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution,,,
9fe8792215db6089,Birendra Prasad Baishya,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Assam,SITTING RAJYA SABHA,Deputy Commissioner Goalpara_IDA,Rongjuli,Dhupdhara Pt-I,"Rongjuli, Dhupdhara Pt-I",2023-11-16,2300000,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,3,5.75,6.5714,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
26c742478ee91de4,Abhishek Banerjee,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,West Bengal,DIAMOND HARBOUR,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,,,"Maheshtala, Ward-25",2023-09-13,1000753,YELLOW,61.7,74,100.0,0,45,3,0,24,0,0,8,2.5019,5.0038,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
84aeb769e4a38f39,Abir Ranjan Biswas,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE MALDA_IDA,Habibpur,Habibpur,"Habibpur, Habibpur",2023-12-21,7697158,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,1,19.2429,38.4858,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
1ad3618ffdb41b10,Birendra Prasad Baishya,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Assam,SITTING RAJYA SABHA,Deputy Commissioner Goalpara_IDA,Rongjuli,Dhupdhara Pt-I,"Rongjuli, Dhupdhara Pt-I",2023-11-16,2320000,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,3,5.8,6.6286,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
bbb8b839bdfc7209,Subhasish Chakrobarty,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE MALDA_IDA,Habibpur,Habibpur,"Habibpur, Habibpur",2023-12-20,2616862,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,2,6.5422,13.0843,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
8899beb102a22d2a,Subrata Bakshi,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE MALDA_IDA,Habibpur,Habibpur,"Habibpur, Habibpur",2023-12-20,3148476,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,2,7.8712,15.7424,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
2c645ded53c0443e,Birendra Prasad Baishya,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Assam,SITTING RAJYA SABHA,Deputy Commissioner Goalpara_IDA,Rongjuli,Dhupdhara Pt-I,"Rongjuli, Dhupdhara Pt-I",2023-11-16,2400000,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,3,6.0,6.8571,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
bd7bd8e19dc7dde1,Adala Reddy,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,NELLORE(SC),DISTRICT COLLECTOR NELLORE_IDA,,,"Nellore Municipal Corporation, 31",2023-12-23,2150000,YELLOW,60.8,71,100.0,0,45,2,0,9,0,0,5,5.375,4.3,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
ff4896e27cedf64d,Jairam Ramesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Karnataka,SITTING RAJYA SABHA,DEPUTY COMMISSIONER CHIKKAMAGALURU_IDA,,,"Chikkamagaluru, release MPLAD fund",2024-01-04,1800000,YELLOW,60.8,71,100.0,0,45,2,0,154,0,0,6,4.5,3.6,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
9c0dddf153114ec1,Jayadev Galla,"Construction of roads, approach roads, link roads and pathways",Normal/Others,Andhra Pradesh,GUNTUR,DISTRICT COLLECTOR GUNTUR_IDA,Tadikonda,Lam,"Tadikonda, Lam",2023-12-28,1740000,YELLOW,60.8,71,100.0,0,45,2,2,19,0,0,2,4.35,3.48,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Project is unsanctioned with action pending,,,
