Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
145,Assam,Shri Pramod Boro (2026-32) (2026-2032),Elected MP,49000000
107,Tamil Nadu,Shri L. K. Sudhish (2026-32) (2026-2032),Elected MP,49356476.5
10,Uttar Pradesh,Dr. Dinesh Sharma (2023-26) (2023-2026),Elected MP,147000000
141,Karnataka,Shri Pawan Khera (2026-32) (2026-2032),Elected MP,49000000
53,Telangana,Shri B. Parthasaradhi Reddy (2022-28) (2022-2028),Elected MP,244365104
153,Gujarat,Shri Rajesh Parmanand Shukla (2026-32) (2026-2032),Elected MP,49000000
106,Bihar,Shri Khiru Mahto (2022-28) (2022-2028),Elected MP,235770091.81
82,Punjab,Shri Harbhajan Singh (2022-28) (2022-2028),Elected MP,220984094.27
196,Uttar Pradesh,Shri Tejveer Singh (2024-30) (2024-2030),Elected MP,147000000
206,Manipur,Smt. Adhikarimayum Sharda Devi (2026-32) (2026-2032),Elected MP,49000000
169,Tamil Nadu,Shri S. Kalyanasundaram (2022-28) (2022-2028),Elected MP,239763792.52
30,Odisha,Dr. Sasmit Patra (2022-28) (2022-2028),Elected MP,196063957.11
112,Uttarakhand,Shri Mahendra Bhatt (2024-30) (2024-2030),Elected MP,147000000
193,Uttar Pradesh,Shri Surendra Singh Nagar (2022-28) (2022-2028),Elected MP,220563957.11
183,Bihar,Shri Sanjay Yadav (2024-30) (2024-2030),Elected MP,186200000
187,Chandigarh,Shri Satnam Singh Sandhu (2024-30) (2024-2030),Nominated MP,147000000
116,Odisha,Shri Manas Ranjan Mangaraj (2022-28) (2022-2028),Elected MP,196063957.11
111,Rajasthan,Shri Madan Rathore (2024-30) (2024-2030),Elected MP,147000000
127,Delhi,Shri Narain Dass Gupta (2024-30) (2024-2030),Elected MP,160837070
110,Karnataka,Shri M. Nagaraja (2026-32) (2026-2032),Elected MP,49000000
221,Haryana,Smt. Rekha Sharma (2024-28) (2024-2028),Elected MP,98000000
3,Rajasthan,Dr. Alka Singh (2026-32) (2026-2032),Elected MP,49000000
61,Assam,Shri Birendra Prasad Baishya (2025-31) (2025-2031),Elected MP,98000000
62,Uttar Pradesh,Shri Brij Lal (2020-26) (2020-2026),Elected MP,196063957.11
226,Uttar Pradesh,Smt. Sangeeta Yadav (2022-28) (2022-2028),Elected MP,196063957.11
79,Gujarat,Shri Govindbhai Laljibhai Dholakia (2024-30) (2024-2030),Elected MP,147000000
122,Maharashtra,Shri Milind Murli Deora (2024-30) (2024-2030),Elected MP,147000000
85,Himachal Pradesh,Shri Harsh Mahajan (2024-30) (2024-2030),Elected MP,147000000
202,Andhra Pradesh,Shri Vijay Chintakayala (2026-32) (2026-2032),Elected MP,49000000
67,Rajasthan,Shri Chunnilal Garasiya (2024-30) (2024-2030),Elected MP,147000000
22,Delhi,Dr. Meenakshi Jain (2025-31) (2025-2031),Nominated MP,73500000
143,Maharashtra,Shri Praful Patel (2024-30) (2024-2030),Elected MP,147000000
136,Kerala,Shri P. P. Suneer (2024-30) (2024-2030),Elected MP,122500000
13,Maharashtra,Dr. Jyoti Nagnath Waghmare (2026-32) (2026-2032),Elected MP,49000000
46,Uttar Pradesh,Shri Amar Pal Maurya (2024-30) (2024-2030),Elected MP,147000000
